superficie,adresse,prix,image_lien
702.0,Mamelles                                                                                Dakar,4053000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d43e14ee62d1593c35d31b7cb9cf60fe/-/horizon-files-prod/ed/picture/q44n22n9/6d022f21f51f9c3d7d8e59c2e753622536e321c6.jpg
500.0,Hlm                                                                                Dakar,2385000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ecfe7139ee99eba7f394a6cbfec30dad/-/horizon-files-prod/ed/picture/qpdm556p/fa931e6171b280ffc366ed2192c03b9ee212243d.jpg
150.0,Ouest foire                                                                                Dakar,100000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8732cb2a308ec08f5b4a1f2cbf2e6dc/-/horizon-files-prod/ed/picture/qj4qdd4v/e50083e908849a14bdd07b808367454605bd7fd3.jpg
216.0,Ngor                                                                                Dakar,60000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2aabf0454e1f73ea61bcdfce68311db4/-/horizon-files-prod/ed/picture/qrz8x945/cad0e2d75375c64a04b9a15fc454521a42d065a1.jpg
0.0,Rufisque                                                                                Dakar,550000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/693c315efc58df18a20afaa1d141e1d9/-/horizon-files-prod/ed/picture/migrated/qn9vkdk/28811bb399186b3c87dcfb3650c63a2e5468989a.jpg
300.0,Thiès                                                                                Thiès,17000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/be1b0307a605cf99a851a61ee3105594/-/horizon-files-prod/ed/picture/qmx8r66/b818f4a45ca50c7386e3dd80c042e5576640f314.jpg
300.0,Somone                                                                                Thiès,17000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8d3a81e1867b2a3aa0759f72974337a/-/horizon-files-prod/ed/picture/migrated/q959jex/761754805e4ed41173f96581dd60b90b7fbee8a3.jpg
500.0,Almadies                                                                                Dakar,1800000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/01163c59ba901ec4cadb5859e8b666e4/-/horizon-files-prod/ed/picture/qq42rpev/03b594ffd70c3cea8ca8902fe71367bad7c0e1f9.jpg
250.0,Bambilor                                                                                Dakar,25000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ac47c1340c0263e4d423449d30fceea7/-/horizon-files-prod/ed/picture/qj4q0k9g/ab05915a3696538b1e38f25bec0bbf2dda73eb3b.jpg
150.0,Tivaouane peulh                                                                                Dakar,20000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7690954819b41f64cde7b27eedea28da/-/horizon-files-prod/ed/picture/q8v47qx0/4aa51f1eed12bbf9398263841d828dd30623a6c7.jpg
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
150.0,Keur Massar                                                                                Dakar,18000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/950c0aa9954642a62a9ed161898a0577/-/horizon-files-prod/ed/picture/q9mjkjj5/17e45eca0d3aa4cd40a8d3677b3756166ea868ee.jpg
0.0,Pikine                                                                                Dakar,10000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c8836142e89c5853293161885bff5055/-/horizon-files-prod/ed/picture/migrated/qm6pzz9/0629bc757b5d5acb77de42cb7ef846f3d0cad8b0.jpg
150.0,Tivaouane peulh                                                                                Dakar,9000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/91bd58b7bb862c221fb15924daeb933c/-/horizon-files-prod/ed/picture/qzvpwwgg/bbcb53aa50f1f5635913027a61f2b54233b689fe.jpg
150.0,Kounoune                                                                                Dakar,15000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/84d2b5ce913f9c1e3d4ad4b663c4748a/-/horizon-files-prod/ed/picture/qpdmr2mm/638948501eaf7bbd46641aa153acd7a20be24d18.jpg
300.0,Diamniadio                                                                                Dakar,15000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/30929d1db7f73fc387b5f57f0a8fd77c/-/horizon-files-prod/ed/picture/qxjpxn70/f2997b389b86bde19a15677fef2a38e57a52a182.jpg
150.0,Kounoune                                                                                Dakar,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d587adffff20a605a9df3181ecd534f/-/horizon-files-prod/ed/picture/qxjpd4m8/06cf6abb57d5fc63ee4546e0584a29e0e2e7de80.jpg
628.0,Point-e                                                                                Dakar,628000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1155972f03965edb4bb8226389c189dd/-/horizon-files-prod/ed/picture/q44ngxnv/582968a4703d5d899fb6d89e07627229e42bab28.jpg
180.0,Mermoz                                                                                Dakar,160000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0d62e442357294085eaf15968c8ed891/-/horizon-files-prod/ed/picture/qrz8xg8n/7c0063be5e71685e6cbb48fba5973a05aa456c55.jpg
884.0,Almadies                                                                                Dakar,2449200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d02bb14075f41c98fdb82300df6fb2b4/-/horizon-files-prod/ed/picture/q9mjvpj0/fc48aa6d1386ca6d003888872d815c042b45cc0e.jpg
211.0,Hann maristes                                                                                Dakar,120000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e12ecb804264346909eab8462fe3da14/-/horizon-files-prod/ed/picture/qgq94dx8/dea0b1b9ec0bd7667a358fc0cb429b763b20f634.png
150.0,Ndiakhirate                                                                                Dakar,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/0c75f0a132f24da4238f89892ac333e7/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz8xmmq/16a5de4306c5b382151e759b03b76d9975475fc8.jpg
150.0,Zac Mbao                                                                                Dakar,18000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d2604af45d82cf07493d91c0b7c32e6e/-/horizon-files-prod/ed/picture/qde7md7m/8f55f75b2800caf67d64ac6c608f6d9690f333b2.jpg
150.0,Kounoune                                                                                Dakar,15000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f4921d4b5150ea5a21f911caf7681824/-/horizon-files-prod/ed/picture/qrz86dn5/46c2b7089a139b6bf218b527007d4aa7a1332885.jpg
150.0,Niakoul rap                                                                                Dakar,20000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/914c94c5dc66bdf7db33e0bb15cd050a/-/horizon-files-prod/ed/picture/qkr8vpkn/dbdc2340e0d0b0cb0a0178b3be1903f0f117bf1d.jpg
300.0,Saly                                                                                Thiès,30000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e009d1f2aaecd9f70bd20b8417944aeb/-/horizon-files-prod/ed/picture/qm5pdvj9/dc321d9bc61a7536a6ff7f3fdc986cd5728dc64f.jpg
0.0,Ngaparou                                                                                Thiès,20000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/407bc47b238e402c05a112c1fd7052b5/-/horizon-files-prod/ed/picture/qenvv784/3083c337584d29b6bb7640a77ccb4b79706ab694.jpg
150.0,Niakoul rap                                                                                Dakar,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d06c896b15ec49e30b8e21f8e743bafd/-/horizon-files-prod/ed/picture/q566pg70/b09b54d94573eef3baa531a0f02aafc5d256a5d8.jpg
150.0,Tivaouane peulh                                                                                Dakar,12500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b5890b1e914aeb99aa26069003077dff/-/horizon-files-prod/ed/picture/qzvpqwnq/e6b808911bed6a682069d86c35ee08a91c85fbe3.jpg
150.0,Niague                                                                                Dakar,7000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f2322f61054a7f9553e517c11ae3676d/-/horizon-files-prod/ed/picture/q6xd28gd/a77a24bdd8ddd6c10c1aceb510c0e024320a20c3.jpg
0.0,Bambilor                                                                                Dakar,500000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2bbfa1b391191c7befc2706006c7a7a/-/horizon-files-prod/ed/picture/q9mj272x/c5ce925cfdb9d55fefd37d5a1b1327ce0beda37c.png
0.0,Niague                                                                                Dakar,5000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3ea42a5523ce3c925d4cdda9361013a9/-/horizon-files-prod/ed/picture/qgqw7p8m/8a623468bf9d1fec56d57c9e2e07a3ae8727b225.jpg
