nombre_chambre,superficie,adresse,prix,image_lien
1.0,30.0,Dieuppeul                                                                                Dakar,15000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aa3fe1516192157fa3cd4583e4736293/-/horizon-files-prod/ed/picture/qgqwzv5n/46189fd2fbc675f0ec3ce6a7af2944f7158c736a.jpg
0.0,0.0,Yoff                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6c69b3a3181f197332964c9f08afacdf/-/horizon-files-prod/ed/picture/migrated/qrn6jxq/42ef21b74f952176d61443cade5ba21ea6d1d352.jpg
0.0,0.0,Yoff                                                                                Dakar,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/cbe3c17b898e878b8d743d4cf70c9ff0/-/horizon-files-prod/ed/picture/migrated/q40r6g4/a12a9f8adfe6d12df61b3247fae5ac4c67898372.jpg
0.0,0.0,Sud foire                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/69b7916e24c8433fcc9f61f70b2ed9ce/-/horizon-files-prod/ed/picture/migrated/q6qdd4j/106e858d098f524396b2288a3b6faa29ad370843.jpg
1.0,100.0,Point-e                                                                                Dakar,30000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4ff9b9fc230485763a1f01cdeb308665/-/horizon-files-prod/ed/picture/qxj6p6k0/184e768e23e83de69a5d925428830ad2ec808459.jpg
1.0,15.0,Point-e                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3eed350cf649a3c1eadf46245c6d9eb0/-/horizon-files-prod/ed/picture/q8vz4zk7/ec6cf5496fad8d26d1a88ab2e924f3b04de971c0.jpg
3.0,300.0,Fann                                                                                Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/5d3f53754d5ebda3e4ad622855fc72ce/-/horizon-files-prod/ed/picture/q2j0940p/4a45197902e5a2ba2a1938e1d562ee6fcb3cd44b.jpg
2.0,90.0,Ngor                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f2b4e23436addc8e2e87e1f5fae2e0ad/-/horizon-files-prod/ed/picture/q0gpx4m8/94315ccb30f7084db4dfa507dfaea35854e431f6.jpg
1.0,80.0,Ngor                                                                                Dakar,550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/de3effc8f8cec0009953108bb24d3784/-/horizon-files-prod/ed/picture/q0gpvrgd/1dad2b12257888155d0390f8d51b45052d1d575e.jpg
2.0,0.0,Ouest foire                                                                                Dakar,40000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/476e0bd87b89121b99642585058dfa4e/-/horizon-files-prod/ed/picture/qzvpqn9k/4c40d8c9c10762e726bfb9270bac828f0c8680dd.jpg
2.0,100.0,Mermoz                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c21741cf4be59e8ce08baf7c29083eed/-/horizon-files-prod/ed/picture/qgqw72g2/c637a06cd8a345fda1b877a0a8ce2d68e4de5858.jpg
2.0,0.0,Ngor                                                                                Dakar,35000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e10c1259b738688afa0d424a76c3d816/-/horizon-files-prod/ed/picture/qde77qr4/4209a93936d6cf05a578873c15cc2468e8d88c4d.jpg
1.0,0.0,Dieuppeul                                                                                Dakar,25000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e4fd55ab3c2e4b9db1bb7d899bf85ea1/-/horizon-files-prod/ed/picture/qwe2x9dd/4e8e00683e4372e26306aac95f47f35f95a41233.jpg
0.0,0.0,Sacré-cœur                                                                                Dakar,12500,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6eb2170cea9a7c43ec91d3e041829363/-/horizon-files-prod/ed/picture/q78wqz8e/2fcc6a32eddc6ade6db1a8db5a3eba211c230b07.jpg
3.0,0.0,Almadies                                                                                Dakar,2000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/928edf2e58a43009d778edf17967a592/-/horizon-files-prod/ed/picture/q9mjvqxw/332bb76bd2e0914049069fed163e3efaafd576c5.jpg
1.0,0.0,Sacré-cœur                                                                                Dakar,450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f6188770fe916e26d69b9a0b027fb4c5/-/horizon-files-prod/ed/picture/q6xdrzd6/11b731ae7d53419d226abdac3e71a07f9ead04fe.jpg
9.0,200.0,Keur Massar                                                                                Dakar,20000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/73770d5bbfa444b85299726ce1d136dc/-/horizon-files-prod/ed/picture/qngxev8r/babb4105e832bed338dde542048206cc59d85666.jpg
