Détails,Tags,Adresse,Prix,Image
Penthouse à louer à Mermoz  derrière Elton,3 chambre200 m²,"Mermoz,
                                                                                Dakar",1 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9032ee39472394028bc7fab8bd2786fb/-/horizon-files-prod/ed/picture/qrzvdne4/091802c71c1470d1639b2f13fe116de8dd41aec0.jpg
Appartement à louer aux Almadie King fat,4 chambre314 m²,"Almadies,
                                                                                Dakar",2 500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b73c02f4fa63c36edc6d5647d88c3d6d/-/horizon-files-prod/ed/picture/q44nrw0p/9b339d027e8ee703628200a9e650db216b276021.jpg
Appartement à louer,3 chambre150 m²,"Almadies 2,
                                                                                Dakar",250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/2831253c34261b40d27db760d65a2684/-/horizon-files-prod/ed/picture/q0gwvvqw/9833f9575c1acd6071ed263d2d1365bf966af074.jpg
appartement à louer,2 chambre100 m²,"Mamelles,
                                                                                Dakar",300 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/996f8411e62e6a602c514a2f042ee968/-/horizon-files-prod/ed/picture/qm5ge5vr/45e6e9c2516bed36054d455f5da48deb3a23dff3.jpg
Appt 2 chambres Mermoz,2 chambre,"Mermoz,
                                                                                Dakar",500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/ea662a6de6c9c36c2cfa8c37add7732d/-/horizon-files-prod/ed/picture/qv4wj8gm/2b2d81da16bbd37e204519e918a2608896509689.jpg
Appartement F4 a Ngor Almadies,3 chambre150 m²,"Ngor,
                                                                                Dakar",400 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/bdf0d5e6543814a9cc45f8bb9c1a09a3/-/horizon-files-prod/ed/picture/q8v5ndnp/5707b7e980eabf2984f6e04fb922b6ff113e9487.jpg
Appartement à louer aux Almadies,2 chambre135 m²,"Almadies,
                                                                                Dakar",500 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6a5b5fca2b0d12b1a7a32e7b99bc7193/-/horizon-files-prod/ed/picture/qj4r85rg/ee5f7fd2d11a8c0a1148a7b5c0badf67e6224065.jpg
Joli appart F5 a Ngor Almadies,4 chambre200 m²,"Ngor,
                                                                                Dakar",900 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2d880cd8d10d282126961441c53dfd4/-/horizon-files-prod/ed/picture/qzvd6xvk/b2a5e52da805f7ab438a4dd28cde8a6bab9053c5.jpg
Joli Appart F5 à la cité Africa,4 chambre197 m²,"Ouakam,
                                                                                Dakar",1 700 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/65e9ba791a583ad4fd30ddc4b34ca4df/-/horizon-files-prod/ed/picture/qngpj4xm/97d82f0208dfdf1b36eda5787f5745cae77027ce.jpg
Duplex spacieux et de standing à louer à Ngor,5 chambre200 m²,"Ngor,
                                                                                Dakar",1 250 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f42cd2507259587172aeb9c2e311e9f9/-/horizon-files-prod/ed/picture/qzvp05v6/02b1c40f2bfe45a3156e2168176518e2b2b5ee89.jpg
