nombre_chambre,superficie,adresse,prix,image_lien
3.0,120.0,Keur Massar                                                                                Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/9a7a11da2620eb07274888ef504a7219/-/horizon-files-prod/ed/picture/q9mjq0r0/9e542911e3e6ec2cfa281c5e7610e99eb02e8cbb.jpg
3.0,150.0,Almadies                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/b2c566d5a7b58343ea8c074383c98de0/-/horizon-files-prod/ed/picture/qxj28qmw/1f73a357a452e57ecdd1beb77dd08c66ac9364ff.jpg
5.0,250.0,Almadies                                                                                Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/68a4e1674611cd67efd49677c9835b67/-/horizon-files-prod/ed/picture/q8v49g74/505f42a8da582c43c503ab3dcdcf4dea8c732394.jpg
3.0,250.0,Almadies                                                                                Dakar,1250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6bdf023a677e99c6619c2abe7db87486/-/horizon-files-prod/ed/picture/q56dn9jg/bf9231ee9dbde4ead597ba5300782205490e4046.jpg
4.0,150.0,Almadies                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4c68186334f9ec2b46f2b35a5ebe3e0/-/horizon-files-prod/ed/picture/qwep6j8m/b6dab8a90517b7635dffa547358427d5e08e2998.jpg
2.0,150.0,Mermoz                                                                                Dakar,750000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a92c1518a661136c7267dee924fc36ae/-/horizon-files-prod/ed/picture/qwep6qwk/a32859ce0907db3f1c32e2bcd43f860b299e5bea.jpg
4.0,285.0,Sacré-cœur                                                                                Dakar,1300000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7f71d2056c775f5939ed42c146a1f9c2/-/horizon-files-prod/ed/picture/q0g72ppj/e94b682a2b778597634491b897391a0918bb39ab.jpg
2.0,100.0,Thiès                                                                                Thiès,150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a25a07944dba67f527ad9cbf48763167/-/horizon-files-prod/ed/picture/qv4wz8rj/12cbdf6fe6ba21c69d21e5b7954fcc0efbdf7820.jpg
3.0,395.0,Almadies                                                                                Dakar,2600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d18ba6f89e22b07a4360e7ecda6ffe26/-/horizon-files-prod/ed/picture/q9mjg7q7/d725da1b50211009918045c0ff62673fda6926b5.jpg
2.0,100.0,Mamelles                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/a2a4b75f83bd26f9704f0c937bfd9c30/-/horizon-files-prod/ed/picture/qq425rv7/eab33b56e583807846049c58e6cf8217a42ac862.jpg
1.0,0.0,Sacré-cœur                                                                                Dakar,275000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d84b1397dbea5f8cab9816fe62366c4d/-/horizon-files-prod/ed/picture/qrz8w885/4a1d74686b53a20215223e55de00c2b0e1e3fe0f.jpg
4.0,200.0,Ngor                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d09f09801c7f5cb83a70ace65c05a1e0/-/horizon-files-prod/ed/picture/q78wpj4z/3b94203eb1b32efb0915f0ac366ac82544205ea2.jpg
4.0,200.0,Fann                                                                                Dakar,3000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/126db786a8e5576bbcf293bd980c7f7e/-/horizon-files-prod/ed/picture/q56d9nxn/ff853383bcb4609eb94077593ba80da03d740f1d.jpg
4.0,200.0,Fann                                                                                Dakar,4000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7edc7307c58cc0ef935ef62fce439105/-/horizon-files-prod/ed/picture/q8v4pnjp/40d6de58abe2cd562edd4b5b0f74a19bcefa8c7b.jpg
3.0,100.0,Point-e                                                                                Dakar,700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70972d480fd20b0322e814be20612f2c/-/horizon-files-prod/ed/picture/qxjpg2g8/1923c04488dfc5d1dab999b65f3eace2c4cdbdde.jpg
3.0,190.0,Fann Hock                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8dae64deebf4e16ff06c65ebd53ed24c/-/horizon-files-prod/ed/picture/q56d4pn0/582b533cc6bbaedb39d4b23df44db3da2534e43d.jpg
3.0,160.0,Liberte 6 extension                                                                                Dakar,1500000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/4f7be1e00655531d70c828d68052ee2f/-/horizon-files-prod/ed/picture/qde7ev65/6f94105849e4da16b2efe656484945ec1296e866.jpg
3.0,173.0,Point-e                                                                                Dakar,1000000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16a5e3eeb4a92125f3ca3dad100b0538/-/horizon-files-prod/ed/picture/qzvpwkv6/1a0b88b0d46063ef57ffb594d9ea7f89efa9fd14.jpg
2.0,100.0,Point-e                                                                                Dakar,600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/f8c722c283bc5270d559107627c5813a/-/horizon-files-prod/ed/picture/q2j0wr7p/bfc600c5c494db8bfec771cbf6eb7f3e0e762176.jpg
0.0,0.0,Guediawaye                                                                                Dakar,180000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/dbd72240c891a0dd3d7b4246785b894c/-/horizon-files-prod/ed/picture/q6xdj09d/c3de18eb3e41085563e3e95677c15589ee45aabc.jpg
3.0,247.0,Fann                                                                                Dakar,2800000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3d015d087d2598b78be326b7a8841a4c/-/horizon-files-prod/ed/picture/q78wd74m/6d7404046b2f7d7395974ddfa72eafbd841a4514.jpg
3.0,150.0,Virage                                                                                Dakar,1700000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/60e87821d5328f5c911b7755f9e6d34a/-/horizon-files-prod/ed/picture/qenvk57x/a53114d66faca02c65ce6ed697f9514ff4796cc4.jpg
3.0,253.0,Almadies                                                                                Dakar,1600000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/459e02baae59e2aa821f2f3244c86baa/-/horizon-files-prod/ed/picture/qm5gqm9z/64711165750aa689705bec94db02df267f3523d4.jpg
